meal name,image_url,ingredients,recipe_urls
Cherry tomato & pancetta pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--3109_12.jpg?itok=0-Z0j9CB,"['Bread', 'Pizza', 'Cherry', 'Mozzarella', 'Bacon', 'olive oil', 'pancetta', 'basil']",/recipes/2480/cherry-tomato-and-pancetta-pizza
Brie & potato pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--511_12.jpg?itok=yK1ADXxX,"['Salad', 'Brie', 'Pizza', 'Olive', 'potato', 'rosemary', 'olive oil']",/recipes/1244/brie-and-potato-pizza
Mozzarella stuffed crust pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/08/stuffed-crust.jpg?itok=Eu2pgJ8P,"['Bread', 'Flour', 'Yeast', 'Sugar', 'Passata', 'Garlic', 'Cloves', 'Mozzarella', 'Pepperoni', 'Chorizo', 'Basil', 'milk', 'olive oil', 'oregano', 'polenta']",/recipes/mozzarella-stuffed-crust-pizza
Mini top-your-own pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/mini-top-your-own-pizzas.jpg?itok=fKTELAnQ,"['Bread', 'Flour', 'Yeast', 'Sugar', 'Passata', 'Herbs', 'olives', 'peppers', 'Salami', 'Mozzarella', 'olive oil', 'basil']",/recipes/mini-top-your-own-pizzas
Potato & taleggio pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--3903_10.jpg?itok=7RZgVpTn,"['Bread', 'Pizza', 'Taleggio', 'Cheese', 'new potato', 'spring onion']",/recipes/2813/potato-and-taleggio-pizza-
Salami & peppadew pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--837491_11.jpg?itok=dmm88qC8,"['Bread', 'Semolina', 'Pizza', 'Tomato', 'Onion', 'Chilli', 'Mozzarella', 'flour', 'salami', 'oregano']",/recipes/1813674/salami-and-peppadew-pizza
Lighter Pizza Margherita,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/pizza_5.jpg?itok=dBbDa-b0,"['Flour', 'Semolina', 'Yeast', 'Plum', 'Garlic', 'Cloves', 'Tomato', 'Basil', 'Mozzarella', 'Cherry', 'polenta', 'olive oil', 'ricotta', 'rocket', 'Parmesan']",/recipes/lighter-pizza-margherita
"Lemon, fennel & prawn pizza",http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/prawn-pizza.jpg?itok=iOdDYktu,"['Pizza', 'Pizza', 'Zest', 'Chilli', 'Mozzarella', 'Pecorino', 'Cherry', 'Tomato', 'fennel bulb', 'prawn', 'lemon', 'olive oil', 'capers', 'radicchio']",/recipes/lemon-fennel-prawn-pizza
Cheese & bacon scone pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--16097_12.jpg?itok=Q2p93hXA,"['Flour', 'Salt', 'Pepper', 'Bacon', 'Tomato', 'Ketchup', 'Tomato', 'Cherry', 'baking powder', 'butter', 'egg', 'milk', 'olive oil', 'spring onion', 'cheddar']",/recipes/8782/cheese-and-bacon-scone-pizza
Cheat's deep-pan pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--463699_11.jpg?itok=xTsADw0m,"['Flour', 'Artichoke', 'Oil', 'Mozzarella', 'Cheddar', 'Rosemary', 'baking powder', 'butter', 'milk', 'olive oil', 'tomatoes', 'courgettes', 'oregano']",/recipes/884636/cheats-deeppan-pizza
Chorizo pizza with peppers & Manchego,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/chorizo-pizza.jpg?itok=HQfJl9pd,"['Pizza', 'sausages', 'Plum', 'Tomato', 'Mozzarella', 'Chilli', 'chorizo', 'Manchego', 'pepper', 'spinach']",/recipes/chorizo-pizza-peppers-manchego
Tomato sauce,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1176626_11.jpg?itok=ipOUJlcX,"['Garlic', 'Tomato', 'olive oil', 'onion', 'oregano']",/recipes/2852676/tomato-sauce
Fresh topped pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1980_10.jpg?itok=rr5kK3qW,"['Flour', 'Salt', 'Yeast', 'Pepper', 'Mozzarella', 'Cherry', 'Tomato', 'Ham', 'Ham', 'olive oil', 'rosemary', 'tomato', 'avocado', 'rocket', 'olive oil', 'balsamic vinegar']",/recipes/2013/fresh-topped-pizza-----
No-oven pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--740614_11.jpg?itok=A8h7rZvh,"['Flour', 'Garlic', 'Cloves', 'Cherry', 'Passata', 'Basil', 'olive oil', 'olive oil', 'onion', 'cheddar']",/recipes/1583641/nooven-pizza
Crispy cheese & guacamole tortillas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--690487_11.jpg?itok=au2W9ICO,"['Cheddar', 'Cherry', 'Chilli', 'Coriander', 'tortilla', 'avocado', 'lime']",/recipes/1506643/crispy-cheese-and-guacamole-tortillas
20-minute Fiorentina pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/pizzas.jpg?itok=fdhv_jdo,"['Flatbread', 'flatbreads', 'Pizza', 'Nutmeg', 'spinach', 'egg', 'Gruy\xe8re', 'prosciutto']",/recipes/20-minute-fiorentina-pizzas
"Mozzarella, ham & pesto pizzas",http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--4264_11.jpg?itok=5VV58O6m,"['breads', 'Mozzarella', 'Ham', 'pesto']",/recipes/2970/mozzarella-ham-and-pesto-pizzas
Mini pizza quiches,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/mini-pizza-quiches.jpg?itok=055XHX4b,"['Wraps', 'Vegetables', 'Cherry', 'Basil', 'eggs', 'salami']",/recipes/mini-pizza-quiches
Cookie dough pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/07/cookie-dough-pizza.jpg?itok=ELQdwwAh,"['Sugar', 'Sugar', 'Flour', 'Salt', 'Chocolate', 'Chips', 'Chocolate', 'Chocolate', 'marshmallows', 'butter', 'eggs']",/recipes/cookie-dough-pizza
"Chorizo, caper & rocket pizza",http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--690472_11.jpg?itok=OopH3_CS,"['Pizza', 'Pizza', 'Cherry', 'tomato', 'chorizo', 'capers', 'rocket', 'olive oil']",/recipes/1506638/chorizo-caper-and-rocket-pizza
Caramelised onion & feta pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1075534_11.jpg?itok=KzI5xTzx,"['Garlic', 'Sugar', 'Feta', 'Cheese', 'Pizza', 'onion', 'butter', 'olive oil', 'rosemary']",/recipes/1060/caramelised-onion-and-feta-pizzas
