ingredient,number
Ham,6
Nectarine,1
cheddar,4
courgettes,1
Sugar,7
marshmallows,1
chicken,1
milk,3
caper,1
rocket,8
avocado,3
sugar,3
pancetta,2
sweetcorn,1
fig,1
polenta,3
Olive,11
ricotta,3
pesto,5
Chips,1
Coriander,2
Chilli,8
aubergine,1
Salad,2
Potato,1
flour,3
Plum,4
Cumin,1
fennel bulb,1
Salt,6
onion,6
lettuce,1
potatoes,1
Bacon,2
prosciutto,2
courgette,3
Parmesan,11
tortilla,1
rosemary,6
Lemon,2
Feta,4
Beef,1
Vegetables,1
prawn,2
almonds,1
Focaccia,1
Orange,1
Pesto,1
Cress,1
Manchego,1
Squash,1
Molasses,1
Semolina,2
purple sprouting broccoli,1
pea,1
Cloves,4
pepper,1
cauliflower,1
Pepper,7
salami,4
Seeds,1
Nutmeg,2
balsamic vinegar,5
Egg,1
Flatbread,1
aubergines,1
new potato,1
chorizo,2
olive oil,37
Wraps,2
spring onion,2
mushrooms,1
oregano,5
Basil,9
walnut,1
capers,3
lime,1
olives,6
spinach,3
parsley,3
Salami,1
Garlic,17
basil,7
Chocolate,3
Mozzarella,29
Bread,16
Tomato,28
Onion,9
shallot,2
flatbreads,2
peppers,5
