meal name,image_url,ingredients,recipe_urls
Cherry tomato & pancetta pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--3109_12.jpg?itok=0-Z0j9CB,"['Bread', 'Pizza', 'Cherry', 'Mozzarella', 'Bacon', u'olive oil', u'pancetta', u'basil']",/recipes/2480/cherry-tomato-and-pancetta-pizza
Pizza pasta salad,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/pasta_1.jpg?itok=YHYg0NS_,"['Tomato', 'Plum', 'Tomato', 'Mozzarella', 'olives', 'Basil', u'pasta', u'olive oil', u'pesto', u'salami']",/recipes/pizza-pasta-salad
Brie & potato pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--511_12.jpg?itok=yK1ADXxX,"['Salad', 'Brie', 'Pizza', 'Olive', u'potato', u'rosemary', u'olive oil']",/recipes/1244/brie-and-potato-pizza
Mozzarella stuffed crust pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe/recipe-image/2016/08/stuffed-crust.jpg?itok=Eu2pgJ8P,"['Bread', 'Flour', 'Yeast', 'Sugar', 'Passata', 'Garlic', 'Cloves', 'Mozzarella', 'Pepperoni', 'Chorizo', 'Basil', u'milk', u'olive oil', u'oregano', u'polenta']",/recipes/mozzarella-stuffed-crust-pizza
Mini top-your-own pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/mini-top-your-own-pizzas.jpg?itok=fKTELAnQ,"['Bread', 'Flour', 'Yeast', 'Sugar', 'Passata', 'Herbs', 'olives', 'peppers', 'Salami', 'Mozzarella', u'olive oil', u'basil']",/recipes/mini-top-your-own-pizzas
Potato & taleggio pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--3903_10.jpg?itok=7RZgVpTn,"['Bread', 'Pizza', 'Taleggio', 'Cheese', u'new potato', u'spring onion']",/recipes/2813/potato-and-taleggio-pizza-
Salami & peppadew pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--837491_11.jpg?itok=dmm88qC8,"['Bread', 'Semolina', 'Pizza', 'Tomato', 'Onion', 'Chilli', 'Mozzarella', u'flour', u'salami', u'oregano']",/recipes/1813674/salami-and-peppadew-pizza
Lighter Pizza Margherita,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/pizza_5.jpg?itok=dBbDa-b0,"['Flour', 'Semolina', 'Yeast', 'Plum', 'Garlic', 'Cloves', 'Tomato', 'Basil', 'Mozzarella', 'Cherry', u'polenta', u'olive oil', u'ricotta', u'rocket', u'Parmesan']",/recipes/lighter-pizza-margherita
"Lemon, fennel & prawn pizza",http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/prawn-pizza.jpg?itok=iOdDYktu,"['Pizza', 'Pizza', 'Zest', 'Chilli', 'Mozzarella', 'Pecorino', 'Cherry', 'Tomato', u'fennel bulb', u'prawn', u'lemon', u'olive oil', u'capers', u'radicchio']",/recipes/lemon-fennel-prawn-pizza
Speedy microwave pizza toastie,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--47510_12.jpg?itok=A-iLXky7,"['Bread', 'Tomato', 'Pasta', 'Mozzarella', 'Ham', u'tomato']",/recipes/11688/speedy-microwave-pizza-toastie
Cheese & bacon scone pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--16097_12.jpg?itok=Q2p93hXA,"['Flour', 'Salt', 'Pepper', 'Bacon', 'Tomato', 'Ketchup', 'Tomato', 'Cherry', u'baking powder', u'butter', u'egg', u'milk', u'olive oil', u'spring onion', u'cheddar']",/recipes/8782/cheese-and-bacon-scone-pizza
Cheat's deep-pan pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--463699_11.jpg?itok=xTsADw0m,"['Flour', 'Artichoke', 'Oil', 'Mozzarella', 'Cheddar', 'Rosemary', u'baking powder', u'butter', u'milk', u'olive oil', u'tomatoes', u'courgettes', u'oregano']",/recipes/884636/cheats-deeppan-pizza
Chorizo pizza with peppers & Manchego,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/chorizo-pizza.jpg?itok=HQfJl9pd,"['Pizza', 'sausages', 'Plum', 'Tomato', 'Mozzarella', 'Chilli', u'chorizo', u'Manchego', u'pepper', u'spinach']",/recipes/chorizo-pizza-peppers-manchego
Tomato sauce,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1176626_11.jpg?itok=ipOUJlcX,"['Garlic', 'Tomato', u'olive oil', u'onion', u'oregano']",/recipes/2852676/tomato-sauce
Fresh topped pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--1980_10.jpg?itok=rr5kK3qW,"['Flour', 'Salt', 'Yeast', 'Pepper', 'Mozzarella', 'Cherry', 'Tomato', 'Ham', 'Ham', u'olive oil', u'rosemary', u'tomato', u'avocado', u'rocket', u'olive oil', u'balsamic vinegar']",/recipes/2013/fresh-topped-pizza-----
No-oven pizza,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--740614_11.jpg?itok=A8h7rZvh,"['Flour', 'Garlic', 'Cloves', 'Cherry', 'Passata', 'Basil', u'olive oil', u'olive oil', u'onion', u'cheddar']",/recipes/1583641/nooven-pizza
Crispy cheese & guacamole tortillas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--690487_11.jpg?itok=au2W9ICO,"['Cheddar', 'Cherry', 'Chilli', 'Coriander', u'tortilla', u'avocado', u'lime']",/recipes/1506643/crispy-cheese-and-guacamole-tortillas
20-minute Fiorentina pizzas,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/pizzas.jpg?itok=fdhv_jdo,"['Flatbread', 'flatbreads', 'Pizza', 'Nutmeg', u'spinach', u'egg', u'Gruy\xe8re', u'prosciutto']",/recipes/20-minute-fiorentina-pizzas
"Mozzarella, ham & pesto pizzas",http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/recipe-image-legacy-id--4264_11.jpg?itok=5VV58O6m,"['breads', 'Mozzarella', 'Ham', u'pesto']",/recipes/2970/mozzarella-ham-and-pesto-pizzas
Mini pizza quiches,http://www.bbcgoodfood.com/sites/default/files/styles/recipe/public/recipe_images/mini-pizza-quiches.jpg?itok=055XHX4b,"['Wraps', 'Vegetables', 'Cherry', 'Basil', u'eggs', u'salami']",/recipes/mini-pizza-quiches
