pizza name,page link
"

          Pizza pasta salad        
",/recipes/pizza-pasta-salad
"

          Cherry tomato & pancetta pizza        
",/recipes/2480/cherry-tomato-and-pancetta-pizza
"

          Sausage & tomato pizza        
",/recipes/4775/sausage-and-tomato-pizza
"

          Mozzarella stuffed crust pizza        
",/recipes/mozzarella-stuffed-crust-pizza
"

          Mini top-your-own pizzas        
",/recipes/mini-top-your-own-pizzas
"

          Easy tomato pizzas        
",/recipes/12389/easy-tomato-pizzas
"

          Salami & peppadew pizza        
",/recipes/1813674/salami-and-peppadew-pizza
"

          Lighter Pizza Margherita        
",/recipes/lighter-pizza-margherita
"

          Lemon, fennel & prawn pizza        
",/recipes/lemon-fennel-prawn-pizza
"

          Brie & potato pizza        
",/recipes/1244/brie-and-potato-pizza
"

          Speedy microwave pizza toastie        
",/recipes/11688/speedy-microwave-pizza-toastie
"

          Cheese & bacon scone pizza        
",/recipes/8782/cheese-and-bacon-scone-pizza
"

          Cheat's deep-pan pizza        
",/recipes/884636/cheats-deeppan-pizza
"

          Chorizo pizza with peppers & Manchego        
",/recipes/chorizo-pizza-peppers-manchego
"

          Spicy prawn pizzas        
",/recipes/2875678/spicy-prawn-pizzas
"

          Roasted spring vegetable pizza        
",/recipes/1234/roasted-spring-vegetable-pizza
"

          20-minute Fiorentina pizzas        
",/recipes/20-minute-fiorentina-pizzas
"

          Mozzarella, ham & pesto pizzas        
",/recipes/2970/mozzarella-ham-and-pesto-pizzas
"

          Cookie dough pizza        
",/recipes/cookie-dough-pizza
"

          Chorizo, caper & rocket pizza        
",/recipes/1506638/chorizo-caper-and-rocket-pizza
"

          Fresh topped pizza             
",/recipes/2013/fresh-topped-pizza-----
"

          Fast feta & aubergine pizzas        
",/recipes/1613/fast-feta-and-aubergine-pizzas
"

          Ten-minute tuna pizza         
",/recipes/2058/tenminute-tuna-pizza-
"

          Cauliflower crust pizza        
",/recipes/cauliflower-crust-pizza
"

          Garlic eyeballs with creamy chive dip        
",/recipes/873636/garlic-eyeballs-with-creamy-chive-dip
"

          Cheap-as-chips veggie pizza        
",/recipes/2491643/cheapaschips-veggie-pizza
"

          Smoking chilli chicken & sweetcorn pizza        
",/recipes/smoking-chilli-chicken-sweetcorn-pizza
"

          Bake-from-the-freezer pizzas        
",/recipes/1363653/bakefromthefreezer-pizzas
"

          Sicilian pizza (sfincione)        
",/recipes/2220690/sicilian-pizza-sfincione
"

          Ham & ricotta pizzas with pesto        
",/recipes/448632/ham-and-ricotta-pizzas-with-pesto
"

          Potato & taleggio pizza         
",/recipes/2813/potato-and-taleggio-pizza-
"

          Mini pizza quiches        
",/recipes/mini-pizza-quiches
"

          Pizza baked potato        
",/recipes/pizza-baked-potato
"

          Cheesy onion pizza        
",/recipes/4651/cheesy-onion-pizza
"

          Garlic pizza with tomato & mozzarella        
",/recipes/garlic-pizza-tomato-mozzarella
"

          Butternut & rosemary pizza        
",/recipes/9528/butternut-and-rosemary-pizza
"

          Tricolore pizza with basil oil        
",/recipes/6636/tricolore-pizza-with-basil-oil
"

          Turkish pizza with spiced pomegranate beef & feta        
",/recipe/turkish-pizza-spiced-pomegranate-beef-feta
"

          No-oven pizza        
",/recipes/1583641/nooven-pizza
"

          Polenta pizza with purple sprouting broccoli & mozzarella        
",/recipes/polenta-pizza-purple-sprouting-broccoli-mozzarella
"

          Potato & pesto pizza        
",/recipes/potato-pesto-pizza
"

          Ciabatta pizzas with sticky onions        
",/recipes/8826/ciabatta-pizzas-with-sticky-onions
"

          Cheesy courgette pizza        
",/recipes/590632/cheesy-courgette-pizza
"

          Tuna, olive & rocket pizzas        
",/recipes/2940669/tuna-olive-and-rocket-pizzas
"

          Blue cheese & pancetta pizza with grilled peaches        
",/recipes/blue-cheese-pancetta-pizza-grilled-peaches
"

          Mini muffin pizzas        
",/recipes/1076/mini-muffin-pizzas
"

          Very simple Margherita pizza        
",/recipes/2037645/very-simple-margherita-pizza
"

          Pepper & tuna panini pizzas        
",/recipes/5594/pepper-and-tuna-panini-pizzas
"

          Egg & rocket pizzas        
",/recipes/egg-rocket-pizzas
"

          Frying pan pizza        
",/recipes/3412/frying-pan-pizza
"

          No-cook goat's cheese pizza        
",/recipes/3144/nocook-goats-cheese-pizza
"

          Caramelised onion & feta pizzas        
",/recipes/1060/caramelised-onion-and-feta-pizzas
