meal name,page link
"

          Chicken & chorizo jambalaya        
",/recipes/1167651/chicken-and-chorizo-jambalaya
"

          Yummy scrummy carrot cake        
",/recipes/3229/yummy-scrummy-carrot-cake
"

          Raspberry Bakewell cake        
",/recipes/11695/raspberry-bakewell-cake
"

          Lemon drizzle cake        
",/recipes/4942/lemon-drizzle-cake
"

          Best-ever brownies        
",/recipes/1223/bestever-brownies
"

          Chicken biryani        
",/recipes/4686/chicken-biryani
"

          Mustard-stuffed chicken        
",/recipes/4814/mustardstuffed-chicken
"

          Chilli con carne        
",/recipes/3228/chilli-con-carne
"

          Red lentil, chickpea & chilli soup        
",/recipes/333614/red-lentil-chickpea-and-chilli-soup
"

          Ultimate chocolate cake        
",/recipes/3092/ultimate-chocolate-cake
"

          Falafel burgers        
",/recipes/5605/falafel-burgers
"

          Spiced carrot & lentil soup        
",/recipes/2089/spiced-carrot-and-lentil-soup
"

          Summer-in-winter chicken        
",/recipes/1521/summerinwinter-chicken
"

          Spicy root & lentil casserole        
",/recipes/1364/spicy-root-and-lentil-casserole
"

          Classic scones with jam & clotted cream        
",/recipes/4622/classic-scones-with-jam-and-clotted-cream
