meal name,page link
"

          Self-saucing Jaffa pudding        
",/recipes/784637/selfsaucing-jaffa-pudding
"

          Chunky oven chips        
",/recipes/2515/chunky-oven-chips
"

          Italian-style beef stew        
",/recipes/2209/italianstyle-beef-stew
"

          Cold weather hotpot        
",/recipes/1702/cold-weather-hotpot
"

          Sweet potato & lentil soup        
",/recipes/13416/sweet-potato-and-lentil-soup
"

          Smoked salmon & lemon risotto        
",/recipes/5965/smoked-salmon-and-lemon-risotto
"

          Ultimate lemon meringue pie        
",/recipes/3482/ultimate-lemon-meringue-pie
"

          Salmon & spinach with tartare cream        
",/recipes/5872/salmon-and-spinach-with-tartare-cream
"

          Foolproof slow roast chicken        
",/recipes/4752/foolproof-slow-roast-chicken
"

          American blueberry pancakes        
",/recipes/4915/american-blueberry-pancakes
"

          Irish soda bread        
",/recipes/1432/irish-soda-bread
"

          Moroccan chicken with sweet potato mash        
",/recipes/764636/moroccan-chicken-with-sweet-potato-mash
"

          Honeyed carrot soup        
",/recipes/4852/honeyed-carrot-soup
"

          Malt chocolate cheesecake        
",/recipes/988642/malt-chocolate-cheesecake
"

          Chicken & mushroom puff pie        
",/recipes/1765/chicken-and-mushroom-puff-pie
"

          Sweet chilli jam        
",/recipes/8257/sweet-chilli-jam
"

          Spicy roasted parsnip soup        
",/recipes/3198/spicy-roasted-parsnip-soup
"

          Butternut squash & sage risotto        
",/recipes/7767/butternut-squash-and-sage-risotto
"

          New York Cheesecake        
",/recipes/2869/new-york-cheesecake
"

          Chicken & broccoli pasta bake        
",/recipes/1948/chicken-and-broccoli-pasta-bake
"

          Thai pork & peanut curry        
",/recipes/2838670/thai-pork-and-peanut-curry
"

          Moroccan chickpea soup        
",/recipes/1499/moroccan-chickpea-soup
"

          Gluten-free lemon drizzle cake        
",/recipes/5870/glutenfree-lemon-drizzle-cake
"

          Beef bourguignon        
",/recipes/5032/beef-bourguignon
"

          Carrot & coriander soup        
",/recipes/7003/carrot-and-coriander-soup
"

          Good-for-you granola        
",/recipes/1590/goodforyou-granola
"

          Pumpkin soup        
",/recipes/7730/pumpkin-soup
"

          Leek, bacon & potato soup        
",/recipes/3505/leek-bacon-and-potato-soup
"

          Carrot cake with cinnamon frosting        
",/recipes/532636/carrot-cake-with-cinnamon-frosting
"

          Chicken & white bean stew        
",/recipes/9021/chicken-and-white-bean-stew
"

          Sausage casserole with garlic toasts        
",/recipes/7552/sausage-casserole-with-garlic-toasts
"

          Beef stroganoff with herby pasta        
",/recipes/8828/beef-stroganoff-with-herby-pasta
"

          Easy sweet & sour chicken        
",/recipes/1472/easy-sweet-and-sour-chicken
"

          Fully loaded Cajun chicken burgers        
",/recipes/9092/fully-loaded-cajun-chicken-burgers
"

          Rich tomato soup with pesto        
",/recipes/5100/rich-tomato-soup-with-pesto
"

          Easy chicken tagine        
",/recipes/5967/easy-chicken-tagine
"

          Perfect pancakes        
",/recipes/3374/perfect-pancakes
"

          Easiest ever paella        
",/recipes/4021/easiest-ever-paella
"

          Succulent braised venison        
",/recipes/1935/succulent-braised-venison
"

          Chicken & red wine casserole with herby dumplings        
",/recipes/2637/chicken-and-red-wine-casserole-with-herby-dumpling
"

          Chorizo & chickpea soup        
",/recipes/2628/chorizo-and-chickpea-soup
"

          Chicken stuffed with herby mascarpone        
",/recipes/4787/chicken-stuffed-with-herby-mascarpone
"

          Raspberry & blueberry lime drizzle cake        
",/recipes/1338/raspberry-and-blueberry-lime-drizzle-cake
"

          Courgette, potato & cheddar soup        
",/recipes/1577642/courgette-potato-and-cheddar-soup
"

          Easy Thai prawn curry        
",/recipes/7418/easy-thai-prawn-curry
