meal name,ingredients,method
"

          Nutty, fruity, festive muffin tarts        
","[u'450g plain flour', u'250g salted butter, cut into small pieces', u'25g ground almond', u'50g golden caster sugar', u'1 egg yolk, beaten', u'300g ground almond', u'250g golden caster sugar', u'100g currant', u'100g sultana', u'50g flaked almond', u'2 tsp ', u'1 tsp nutmeg', u'1 tsp mixed spice', u'200g ', u'4 ', u', beaten', u'1 ', u', finely grated zest and juice', u'1 ', u', finely grated zest and juice', u'icing sugar, for dusting']","[u'First make the pastry. Sift the flour into a large bowl, add the butter and, using your fingertips, rub it into the flour so the mixture resembles breadcrumbs. Measure 150ml/\xbc pint cold water into a jug. Stir the ground almonds and sugar into the flour mixture, then add the egg yolk and a little of the water, stirring with a knife. Gradually work in the rest of the water, stirring until you have a soft pastry ball. Wrap it in cling film and chill for 20-30 minutes.', u'Meanwhile, make the filling. Preheat the oven to fan 180C/conventional 200C/gas 6. Tip the ground almonds, sugar, currants, sultanas, almonds and spices into a large bowl and stir. Melt the butter (use the microwave for speed) and add to the dry ingredients with the beaten eggs and the lemon and orange zest and juice. Mix together really well.', u'Roll out the pastry on a lightly floured surface (working with half at a time is easiest) to about 5mm thickness. Cut out about 24 rounds using a 10cm round cutter. Use each round to line a muffin tin (use two trays, or bake in batches). Spoon the filling into each pastry-lined tart, so it is just shy of the top of the pastry.', u'Bake for 20-25 minutes until pale golden, then turn each tart out on to a wire rack and dust with icing sugar. Lovely served warm or cold.']"
"

          Raspberry millefeuilles        
","[u'icing sugar, for dusting', u'200g plain flour, plus extra for dusting', u'\xbc tsp salt', u'175g cold ', u', cut into 1\xbd cm cubes', u'1 tsp lemon juice', u'cr\xe8me p\xe2tissi\xe8re (see tip, below left, for recipe)', u'300g raspberries (or other seasonal berries)']","[u'For the pastry, mix the flour, salt and butter together in a bowl - the butter should remain in cubes. Make a well in the centre and pour in the lemon juice and 100ml cold water. Mix well, then bring together with your hands.', u'Tip the pastry onto a lightly floured surface and briefly knead until smooth. Shape into a rectangle, then wrap in cling film and chill for 30 mins.', u'On a floured surface, use a rolling pin to ridge and roll (see tip, below left) the pastry into a rectangle, so that it is three times as long as it is wide, about 15 x 45cm. Keep the edges of the pastry as straight as you can.', u'Lift the bottom third of the pastry and fold it up and over the middle third. Dust off any excess flour.', u'Fold the top third of the pastry down and over the bottom third, so that you have three layers of pastry in a neat rectangle. Dust off any excess flour. Wrap and chill for 15 mins.', u'Give the pastry a 90-degree right turn so it faces you like a book. Repeat steps 3-5 four more times, always starting with the pastry facing you as it was after the last fold and giving it a turn. Chill for 30 mins.', u'Heat oven to 200C/180C fan/gas 6. On a lightly floured surface, roll the pastry out to a rough 32cm square. Using a sharp knife, trim the edges to make a neat 30cm square.', u'Cut the pastry into 3 long strips measuring 30 x 10cm. Transfer to 2 baking sheets lined with baking parchment and chill for 30 mins or until firm.', u'Top each tray with a sheet of baking parchment, then stack on top of each other. Pop another baking tray on top and weigh down with an ovenproof dish. Bake for 25-30 mins or until golden brown and crisp.', u'Leave the pastry to cool a little, trim the edges if needed, then cut each sheet into 6 smaller rectangles. You should end up with 18 pieces of pastry measuring about 10 x 5cm.', u'Transfer 1 piece of pastry to a serving plate, pipe over blobs of Cr\xe8me patisserie (see recipe tip, below left), then top with some raspberries and another layer of pastry.', u'Add another layer of Cr\xe8me patisserie and raspberries. Dust a third piece of pastry with icing sugar, then decorate with more raspberries and pop this on top. Repeat with the remaining pastry to make 6 millefeuilles.']"
"

          Asparagus & cheese tart        
","[u'140g plain flour', u'85g ', u', cubed', u'85g ', u' (such as Montgomery or vegetarian alternative), or other hard cheese, finely grated', u'5 ', u'175ml ', u'100g ', u' (such as Montgomery or vegetarian alternative), or other hard cheese, grated', u'300g ', u', trimmed and cut in half lengthways']","[u'Put the flour in a bowl, add the butter to the flour and rub in with your fingertips until it resembles breadcrumbs. Add the grated cheddar into the pastry and mix. Add 3 tbsp cold water and mix until the pastry forms a ball. Wrap in cling film and chill for 5 mins. Butter a 20 x 6cm deep loose-bottom tart tin, or a 35 x 12cm rectangular tart tin.', u'Heat oven to 180C/fan 160C/gas 4. Lightly dust the work surface with flour, roll out the pastry and line the tin. Chill in the freezer for 20 mins, then line the pastry case with baking paper, fill with beans and cook for 15 mins. Remove the beans and paper, then return the pastry case to the oven for 10 mins.', u'Crack the eggs into a jug, whisk, then add the milk and whisk again. Sprinkle half the grated cheese over the pastry case, then add the asparagus, egg mix and remaining cheese (if using a rectangular tin, you may not need all the mixture, so add it gradually). Bake in the lower half of the oven for 30-35 mins or until the egg mix is set.']"
"

          Curried sweetcorn soup with chicken        
","[u'450g fresh sweetcorn cob or 280g/ 10oz canned sweetcorn, drained', u'225g skinless, chicken breasts, thinly sliced into long shreds', u'1 egg white, plus 1 egg, beaten', u'2 tsp sesame oil', u'3 tsp cornflour', u'1.2l chicken stock', u'1 tbsp Shaohsing rice wine or dry Sherry', u'1 tbsp curry powder or paste', u'1 tsp ', u'2 ', u', finely chopped, to garnish']","[u'If you\u2019re using fresh corn, wash the cobs and remove the kernels with a sharp knife or cleaver. Put in a bowl and set aside \u2013 you should end up with about 280g.', u'Mix the chicken shreds with the egg white, 1 tsp salt, 1 tsp sesame oil and 1 tsp cornflour in a small bowl and chill for 15 mins. Beat the whole egg and remaining sesame oil together in another small bowl and set aside.', u'Bring the stock to a simmer in a large pan, add the sweetcorn and simmer for 10 mins, uncovered. Meanwhile, bring a small pan of water to the boil. Turn off the heat and quickly blanch the chicken shreds until they just turn white \u2013 about 20 secs. Remove with a slotted spoon and drain well.', u'Add the Shaohsing rice wine to the stock with the curry powder, 1 tsp salt, the sugar and the remaining cornflour pre-mixed with 2 tsp water. Bring it back to the boil, then lower the heat and simmer for another 5 mins.', u'Add the blanched chicken shreds, then add the egg and sesame oil mixture in a very slow, thin stream. Using a chopstick or fork, pull the egg slowly into strands.', u'Ladle into a large bowl, garnish with the spring onions and serve straight away.']"
"

          Sweet chilli chicken        
","[u'3-4 tbsp chilli sauce, depending on how hot you like it (we used Amoy)', u'2 tbsp clear honey', u'2 tbsp ', u'4 boneless chicken breast fillet, skin on', u'2 garlic clove, crushed', u'1 ', u', cut into 4 wedges, to serve, optional']","[u'To make the glaze, preheat the grill to high. Mix together the chilli sauce, honey and oil in a large bowl. Using a sharp knife make 3-4 slits across the skin side of each chicken breast. Season with salt and pepper then lift the skin on each breast and tuck under the crushed garlic. Now dip the underside of each chicken breast in the glaze until evenly coated. Reserve the rest of the glaze for later.', u'To cook the chicken, put the chicken on the grill pan, glazed side up, and grill for 8 minutes until golden and sticky. Turn the chicken breasts over, brush with the remaining glaze, then cook for another 6-8 minutes until the chicken is firm and cooked through. Serve straight away with wedges of lime for squeezing over, if liked.']"
"

          Garlicky prawns with sherry        
","[u'3 tbsp ', u'3 garlic clove, thinly sliced', u'400g large ', u', uncooked', u'2 tbsp dry sherry (fino)', u'handful ', u', chopped']","[u'Heat the olive oil in a large frying pan. Tip in the garlic slices and cook for a few secs. Then stir through the prawns and cook for a couple of mins until they start to turn pink.', u'Pour over the sherry and cook for a few mins more, just until the prawns are cooked through. Sprinkle with parsley before serving.']"
"

          Alice in Wonderland raspberry vodka        
","[u'500g raspberries', u'250g white caster sugar', u'2 vanilla pods, split down the centre', u'1l ']","[u'Sterilise a 1.5 litre preserving jar (see tip, left). Tip the raspberries, sugar and vanilla into the jar.', u'Pour half the vodka into the bottle. Seal the lid, then turn the bottle upside down and give it a good shake to evenly distribute the sugar. Remove the lid and add the remaining vodka.', u'Ensure the bottle is sealed and store in a cool dark place, turning/shaking once a day for the first week. After 2-3 weeks you can strain the vodka through a sieve lined with coffee filter papers or a clean kitchen cloth. Pour the vodka back into mini bottles and label. The vodka will keep its pink colour for a few months, but will be drinkable for 2 years.']"
"

          Cauliflower & carrot salad        
","[u'1 small or \xbd large ', u'2 ', u', grated', u'1 red onion, finely chopped', u'2 tsp ', u'2 tbsp chopped ', u'1 tbsp white wine vinegar', u'1 tsp Dijon mustard', u'2 tbsp ', u'1 tbsp mayonnaise']","[u'Break cauliflower into florets, cutting any larger ones into thin slices. Mix with carrots, red onion, capers and chopped parsley. Whisk white wine vinegar with Dijon mustard, season, then whisk in olive oil and mayonnaise.', u'Pour over the salad and mix well. Can be stored in the fridge for up to 3 days.']"
"

          Blackberry slump        
","[u'550g ', u'411g can peach slices in fruit juice drained and 5 tbsp juice reserved', u'2 tbsp caster sugar', u'\xbd  tsp ground cinnamon', u'2 tbsp lemon juice', u'150g ', u'175g plain flour', u'2 tsp ', u'25g ', u' plus extra for greasing', u'2 tbsp caster sugar', u'50g ', u' skinned, toasted and chopped', u'200ml ']","[u'Heat oven to 190C/fan 170C/gas 5. Lightly butter a 1.7 litre ovenproof shallow dish. Spread blackberries and drained peach slices in the bottom of the dish. Mix together the caster sugar and cinnamon, then sprinkle over the top and pour over the lemon juice and the reserved juice from the peaches. Bake, uncovered, for 10 mins until the juices begin to run. Remove the dish from the oven and set aside.', u'To make the topping, sift the polenta, flour, baking powder and a pinch of salt into a bowl. Rub in the butter with your fingertips until the mixture is the consistency of breadcrumbs. Add the sugar and toasted nuts and mix well, then stir in the milk to make a soft, sticky dough.', u'Increase oven temperature to 220C/fan 200C/gas 7. Drop spoonfuls of the dough over the top of the berries, then return to the oven for 15 mins until the topping is golden brown. Serve hot with cream, custard or ice cream.']"
"

          Blackberry compote        
","[u'750g ', u', halved', u'100g golden caster sugar', u'juice \xbd ', u'small pinch ground ', u', optional']","[u'To make the compote, whizz two thirds of the blackberries with the sugar, lemon juice and cinnamon in a food processor until smooth, then sieve to remove the seeds. Fold the remaining fruit through the pur\xe9e and set aside. Use within 2 days or freeze.']"
