club,address,link,site
 Monkey Bar,100 Bath Street; G2 2EN; Scotland,/club.aspx?id=15270,None
 Ivory Blacks,"56 Oswald Street, G1 4PL",/club.aspx?id=15983,http://www.ivoryblacks.co.uk/
 Make Do,"95 Hope Street, G22 6LL",/club.aspx?id=73144,None
 The Vale,"5 Dundas Strret, G1 2AH",/club.aspx?id=37719,None
 Broadcast,"427 Sauchiehall St,  G2 3LG",/club.aspx?id=86641,http://broadcastglasgow.com/
 Hillhead Bookclub,17 Vinicombe Street; G12 8BE; Scotland,/club.aspx?id=35869,None
 Bar Groove,78 Union Street,/club.aspx?id=84333,http://bargroove.co.uk/
 Mcchuills Music Bar,40 High Street; G1 1NL; Scotland,/club.aspx?id=45616,http://mcchuills.co.uk
 The Shed,"26 Langside Ave, G41 2QS",/club.aspx?id=90562,http://www.shedglasgow.com/
 The Glue Factory,"22 Farnell Street, G4 9SE",/club.aspx?id=56059,http://www.thegluefactory.org
 Bacchus,80 Glassford Street; G1 1UR; Scotland,/club.aspx?id=25106,http://www.bacchusglasgow.com/
 The State Bar,"148-148A Holland Street, Lanarkshire, G2 4NG",/club.aspx?id=26704,None
 Richmond Park,"Shawfield Drive, G5 0AN",/club.aspx?id=93989,None
 The Art School,"20 Scott Street, G3 6RQ, Scotland",/club.aspx?id=3103,http://www.theartschool.co.uk
 SWG3,100 East Vale Place; G3 8QG; Scotland,/club.aspx?id=18361,http://www.swg3.tv
 River,"260 Clyde Street, G1 4JH",/club.aspx?id=94437,http://www.facebook.com/Riverglasgow1
 West of Scotland Cricket Club,"Hamilton Crescent, 40-44 Peel St, G11 5LU",/club.aspx?id=67496,None
 SECC,", G3 8YW; Scotland",/club.aspx?id=7242,http://www.secc.co.uk
" Purple Lounge, Afillion Studios","32-36 Broomielaw, G1 4QN",/club.aspx?id=105119,http://www.afillion.com/
 Clyde Cruises at Riverside Museum,"100 Pointhouse Rd,  G3 8RS SWG3",/club.aspx?id=119623,None
 Glasshouse Queens Park,"520 Langside Rd, G42 8QR",/club.aspx?id=17203,None
 Nice'n'Sleazy,421 Sauchiehall Street; G2 3LG; Scotland,/club.aspx?id=8987,http://www.nicensleazy.com/
 Kinning Park Complex,"40 Cornwall St,  City, G41 1AQ",/club.aspx?id=64625,http://www.kinningparkcomplex.org/?cbg_tz=-60
 East Kilbride Arts Centre,"51 Old Coach Rd, East Kilbride,  G74 4DU",/club.aspx?id=108090,http://www.slleisureandculture.co.uk/info/48/east_kilbride_arts_centre
 Wicked Lounge,"18 Candleriggs, G1 1LD",/club.aspx?id=89029,http://www.wildcabaret.com
 Sugarcube,"44 Queen Street, G1 3DX",/club.aspx?id=66927,http://www.sugarcubeglasgow.co.uk
 Sub Hub Glasgow,"6th Floor, Argyll Arcade, Buchanan Street",/club.aspx?id=102789,http://subclub.co.uk/subhub
 Brunswick Hotel,Brunswick Street; G1 1TF; Scotland,/club.aspx?id=6101,http://www.brunswickhotel.co.uk/home.html
 Gilmorehill G12,9 University Avenue; G12 8QQ; Scotland,/club.aspx?id=13230,http://www.gilmorehillg12.co.uk/
 69 Below,"69 Nelson Mandela Place, G2 1QY",/club.aspx?id=77324,None
 The Buff Club,142 Bath Lane; G2 4SQ; Scotland,/club.aspx?id=6689,http://www.thebuffclub.com/
 Black Sparrow,241 North Street; G3 7DL; Scotland,/club.aspx?id=14241,None
 People's Palace and Winter Gardens, Green G40 1AT,/club.aspx?id=25038,http://www.glasgowlife.org.uk/museums/peoples-palace/Pages/default.aspx
